Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
0.145913999,1.914855519,0.017397728,0.018493225,-0.002681376,-6.19914E-07,0.084388506,4397.855236,0,100
0.141462864,1.914227375,0.017079931,0.015685903,-0.004627754,-1.00493E-06,0.082727619,4399.810895,0,100
0.137055485,1.913596125,0.016630412,0.012735122,-0.006582679,-1.39012E-06,0.081050192,4401.765249,0,100
0.1326633,1.912924189,0.01634703,0.010451699,-0.008503449,-1.77548E-06,0.079356309,4403.719,0,100
0.128280006,1.912347876,0.015535315,0.007085637,-0.010459408,-2.16101E-06,0.077646069,4405.670405,0,100
0.123890397,1.911754107,0.014772153,0.004420911,-0.012384003,-2.54671E-06,0.075919576,4407.617905,0,100
0.119481986,1.911126605,0.013985327,0.002081749,-0.014270035,-2.93257E-06,0.074176934,4409.562825,0,100
0.115037433,1.910465511,0.013135598,-2.37764E-05,-0.016104602,-3.31861E-06,0.072418195,4411.506673,0,100
0.110539961,1.909784043,0.012212399,-0.001894058,-0.017873023,-3.70482E-06,0.070643488,4413.450561,0,100
0.105973741,1.90909893,0.011224198,-0.003512372,-0.019564581,-4.09119E-06,0.068852924,4415.394815,0,100
0.101324767,1.908422179,0.01018939,-0.004870572,-0.021167545,-4.4777E-06,0.067046623,4417.339042,0,100
0.096581,1.907757972,0.009128148,-0.005963154,-0.022672063,-4.56166E-06,0.065224644,4419.28251,0,100
0.091731453,1.907104105,0.008059636,-0.00681054,-0.024069705,-4.34141E-06,0.06338726,4421.224531,0,100
0.086767454,1.90645532,0.007000073,-0.007432804,-0.025350983,-4.10904E-06,0.06153475,4423.164691,0,100
0.081681515,1.905806374,0.005962108,-0.007862,-0.026510032,-3.87658E-06,0.059667413,4425.102897,0,100
0.076468015,1.905153798,0.004955109,-0.008132902,-0.027539736,-3.64401E-06,0.057785535,4427.039283,0,100
0.071123286,1.90449628,0.0039859,-0.008273657,-0.028435401,-3.41135E-06,0.055889537,4428.974088,0,100
0.065644593,1.903834173,0.003059582,-0.008319771,-0.029194033,-3.17858E-06,0.053979813,4430.907544,0,100
0.060031591,1.903168666,0.002180249,-0.008292483,-0.029812058,-2.94571E-06,0.052056783,4432.83982,0,100
0.054284822,1.902501031,0.001351387,-0.008214867,-0.030289852,-2.71274E-06,0.050120881,4434.771014,0,100
0.048406305,1.901832171,0.000575977,-0.008104792,-0.030626696,-2.47966E-06,0.04817265,4436.701171,0,100
0.042399437,1.901162488,-0.000143351,-0.007968573,-0.030824545,-2.2465E-06,0.046212626,4438.630312,0,100
0.036268052,1.90049196,-0.000804446,-0.007818796,-0.030886756,-2.08734E-06,0.044241379,4440.558457,0,100
0.03001747,1.899820353,-0.001405765,-0.00765312,-0.03081617,-2.42676E-06,0.042259474,4442.485638,0,100
0.023653364,1.899147391,-0.001946452,-0.007472866,-0.030619088,-2.8205E-06,0.040267487,4444.411899,0,100
0.017182364,1.898472871,-0.002426332,-0.007277295,-0.030300152,-3.21441E-06,0.038265988,4446.337294,0,100
0.010611528,1.897796706,-0.002845878,-0.007057877,-0.029866514,-3.60849E-06,0.036255573,4448.261882,0,100
0.003948086,1.897118879,-0.003206125,-0.006815584,-0.029325811,-4.00275E-06,0.03423682,4450.185717,0,100
